raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,73,70,66,62,58,53,50,46,42
1,76,72,69,65,60,56,52,48,44
2,79,75,71,67,62,58,54,50,46
3,82,78,74,70,65,60,56,52,48
4,85,81,77,72,67,62,58,54,50
5,88,83,79,75,69,65,60,56,52
6,90,86,82,77,72,67,62,58,53
7,93,89,85,80,74,69,65,61,55
8,96,92,87,82,77,72,67,63,58
9,99,95,90,85,79,74,69,65,60
10,102,97,93,88,82,76,71,67,62
11,105,100,96,90,84,79,74,69,64
12,108,103,98,93,87,81,76,72,66
13,111,106,101,96,89,84,79,74,68
14,114,109,104,98,92,86,81,76,70
15,117,112,107,101,95,89,83,79,73
16,120,115,110,104,97,91,86,81,75
17,123,118,113,107,100,94,88,83,78
18,126,121,115,109,103,97,91,86,80
19,129,124,118,112,105,99,94,89,83
20,130,127,121,115,108,102,96,91,85
21,130,130,124,118,111,105,99,94,88
22,130,130,127,121,114,107,102,97,91
23,130,130,130,124,117,110,104,99,94
24,130,130,130,127,119,113,107,102,97
25,130,130,130,129,122,116,110,105,100
26,130,130,130,130,125,119,113,108,103
27,130,130,130,130,128,122,116,111,107
28,130,130,130,130,130,125,119,115,110
29,130,130,130,130,130,128,123,118,114
30,130,130,130,130,130,130,126,122,118
31,130,130,130,130,130,130,129,125,123
32,130,130,130,130,130,130,130,129,127
